xpixel,ypixel,xestimate,yestimate,time
0,0,91.9740573653,-52.1835992236,2018-04-24 21:11:24.750001
0,0,96.9870528174,-34.2518451365,2018-04-24 21:11:30.807312
0,0,49.5103419903,-94.4765904033,2018-04-24 21:11:31.730244
0,0,45.4040167057,-92.6411850523,2018-04-24 21:11:32.434973
0,0,83.7855319385,-114.479953813,2018-04-24 21:11:33.104256
0,0,70.7367358817,-104.976504366,2018-04-24 21:11:33.731059
0,0,59.4240832317,-112.105157278,2018-04-24 21:11:34.334687
0,0,63.2638678787,-96.9015196434,2018-04-24 21:11:34.909852
0,0,43.3307208289,-95.3535955843,2018-04-24 21:11:35.479914
0,0,55.5695284124,-91.9492603957,2018-04-24 21:11:36.034400
0,0,40.1402736474,-94.6191956351,2018-04-24 21:11:36.564893
0,0,42.6291022307,-96.6988815136,2018-04-24 21:11:37.075549
0,0,45.7244843122,-95.6439312726,2018-04-24 21:11:37.610750
0,0,57.7305453722,-99.9457434282,2018-04-24 21:11:38.147329
0,0,74.9185537257,-97.4945498075,2018-04-24 21:11:38.700325
0,0,79.3614680374,-96.9222904488,2018-04-24 21:11:39.203528
0,0,63.6932643258,-96.039611851,2018-04-24 21:11:42.758774
0,0,70.3785000354,-99.6128701307,2018-04-24 21:11:43.377722
0,0,71.7278376578,-99.0919607975,2018-04-24 21:11:43.914749
0,0,71.3967772592,-105.831927145,2018-04-24 21:11:44.451161
0,0,64.2393915833,-106.066322311,2018-04-24 21:11:44.954178
0,0,66.2190684233,-106.050682641,2018-04-24 21:11:47.645001
0,0,54.8259230634,-111.153475428,2018-04-24 21:11:48.249432
0,0,54.8844463218,-109.829968015,2018-04-24 21:11:48.698116
0,0,57.8395402901,-109.614910338,2018-04-24 21:11:49.269762
0,0,64.6091601639,-103.313005963,2018-04-24 21:11:49.625103
0,0,67.3117175338,-101.656524639,2018-04-24 21:11:50.153199
0,0,73.6559583745,-99.8796600897,2018-04-24 21:11:50.561952
0,0,80.7331125319,-102.384178823,2018-04-24 21:11:51.034378
0,0,81.1101401448,-99.9675471458,2018-04-24 21:11:51.561004
0,0,80.3044647775,-101.510365435,2018-04-24 21:11:52.043165
0,0,82.4901557978,-99.4156773917,2018-04-24 21:11:52.384553
0,0,80.1244374553,-101.391682303,2018-04-24 21:11:52.939749
0,0,81.9376562906,-96.7747410907,2018-04-24 21:11:53.306467
0,0,76.7791309358,-93.5693673517,2018-04-24 21:11:53.718990
0,0,78.3409556692,-107.486352662,2018-04-24 21:11:54.143306
0,0,69.8842138022,-115.482943751,2018-04-24 21:11:54.559695
0,0,68.832318842,-116.688306729,2018-04-24 21:11:55.010197
0,0,65.0087610939,-108.401927217,2018-04-24 21:11:55.439253
0,0,59.01382678,-105.967774375,2018-04-24 21:11:55.969554
0,0,52.7450184145,-99.5194351061,2018-04-24 21:11:56.425941
0,0,50.5839968868,-91.1888644554,2018-04-24 21:11:56.879969
0,0,55.8691881091,-91.1894788471,2018-04-24 21:11:57.230373
0,0,54.374570562,-90.3026487334,2018-04-24 21:11:57.588078
0,0,57.7947812819,-90.907105783,2018-04-24 21:11:57.925249
0,0,70.5862933049,-94.7264415643,2018-04-24 21:11:58.350260
0,0,67.7150804783,-94.5655554458,2018-04-24 21:11:58.915995
0,0,79.5561741561,-92.5753881155,2018-04-24 21:11:59.290001
0,0,81.251614232,-90.5784302727,2018-04-24 21:11:59.627596
0,0,73.3548585458,-91.7272797748,2018-04-24 21:11:59.967705
0,0,67.9491568978,-94.1190075379,2018-04-24 21:12:00.422326
0,0,72.7849620997,-89.682618016,2018-04-24 21:12:00.934160
0,0,63.716604481,-96.3655661928,2018-04-24 21:12:01.273122
0,0,64.8942513469,-94.4736189495,2018-04-24 21:12:01.612817
0,0,63.8082787482,-101.590946706,2018-04-24 21:12:01.964259
0,0,60.4999306537,-95.6552985005,2018-04-24 21:12:02.326255
0,0,57.9054838261,-98.5138533938,2018-04-24 21:12:02.695169
0,0,67.948139413,-96.3941700963,2018-04-24 21:12:03.098619
0,0,73.4277189244,-96.1797687573,2018-04-24 21:12:03.492019
0,0,71.9975906423,-94.1863778051,2018-04-24 21:12:03.880316
0,0,64.7812138627,-93.8567759946,2018-04-24 21:12:04.279967
0,0,76.7737184694,-92.4171893431,2018-04-24 21:12:04.664981
0,0,69.5960642649,-94.757347021,2018-04-24 21:12:09.072384
0,0,62.2790291381,-90.8933081231,2018-04-24 21:12:09.517048
0,0,65.4029668187,-93.0455920438,2018-04-24 21:12:09.901486
0,0,73.0314615024,-93.9103140296,2018-04-24 21:12:10.317138
0,0,39.555029348,-94.6759413846,2018-04-24 21:12:10.772716
0,0,27.4309273709,-96.5500464056,2018-04-24 21:12:11.218744
0,0,29.4483939172,-92.9056364079,2018-04-24 21:12:11.640064
0,0,32.4712343523,-96.6461456332,2018-04-24 21:12:12.052903
0,0,51.876911268,-108.909163242,2018-04-24 21:12:12.441116
0,0,69.2413479324,-125.207664498,2018-04-24 21:12:12.850579
0,0,70.7139313657,-131.90783615,2018-04-24 21:12:13.268181
0,0,76.6817301359,-121.66482719,2018-04-24 21:12:13.674788
0,0,80.8162017125,-120.54267955,2018-04-24 21:12:14.073847
0,0,71.7806978359,-115.891531847,2018-04-24 21:12:14.511282
0,0,73.329840647,-111.261503296,2018-04-24 21:12:14.915328
0,0,75.4837920488,-111.110026341,2018-04-24 21:12:15.310071
0,0,74.6587635732,-107.563004255,2018-04-24 21:12:15.717270
0,0,71.5973618131,-105.84266037,2018-04-24 21:12:16.123995
0,0,66.9885180834,-106.228068418,2018-04-24 21:12:16.561417
0,0,70.7085715326,-109.073910777,2018-04-24 21:12:16.945146
0,0,63.9245669251,-103.98529558,2018-04-24 21:12:17.357216
0,0,67.2104980973,-103.48479955,2018-04-24 21:12:17.868123
0,0,67.697473176,-104.019717579,2018-04-24 21:12:18.313973
