xpixel,ypixel,xestimate,yestimate,angleError,time
0,0,35.5699519545,-80.9946072534,17.3706041166,2018-04-24 22:00:50.178689
0,0,31.7497100489,-80.9497157868,16.9987656713,2018-04-24 22:00:51.960145
0,0,35.0611730612,-80.2724080456,17.0974415631,2018-04-24 22:00:53.386398
0,0,30.9228878289,-68.513110542,13.4619115935,2018-04-24 22:00:53.965331
0,0,24.839467068,-71.3333078719,13.5535164293,2018-04-24 22:00:54.535282
0,0,61.1334714766,-74.1301922465,16.5147878011,2018-04-24 22:00:55.073635
0,0,28.9053231159,-76.4921671848,16.2594314741,2018-04-24 22:00:55.615699
0,0,44.3270616494,-79.2013662354,15.9558066782,2018-04-24 22:00:56.122079
0,0,25.0138014516,-78.2821291969,16.4627798905,2018-04-24 22:00:56.666450
0,0,31.0545403416,-81.5844595033,17.3461532307,2018-04-24 22:00:57.700481
0,0,28.5330241642,-83.8787001113,17.7081781771,2018-04-24 22:00:58.169913
0,0,48.8431517123,-80.9164156391,15.962143675,2018-04-24 22:00:58.762316
0,0,25.2538396314,-79.7305142697,16.888495094,2018-04-24 22:00:59.239595
0,0,31.508711934,-81.5883408837,17.6220486021,2018-04-24 22:00:59.722142
0,0,38.526515246,-77.3824567344,15.0911369138,2018-04-24 22:01:00.251674
0,0,35.6068484343,-81.6462531286,17.6028269226,2018-04-24 22:01:00.735154
0,0,43.1186963466,-77.3614325983,15.1665101107,2018-04-24 22:01:01.257019
0,0,43.3026562538,-81.3091156665,15.6973647455,2018-04-24 22:01:01.758098
0,0,37.2031125406,-76.6926050906,14.8750713114,2018-04-24 22:01:02.304369
